run_id,evidence_id,product_id,product_name,vintage_label,source_domain,ocr_status,processor,image_sha256,line_count,ingredient_signal_found,ingredient_signal_line_count,average_confidence,private_image_present,candidate_only,manual_verified
pilot-photo-capture-dry-run,kraft_macaroni_and_cheese_original_evidence_9,kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,current_2020s,www.walmart.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,mcdonalds_big_mac_evidence_4,mcdonalds_big_mac,McDonald's Big Mac,2000s;2010s,www.canceredinstitute.org,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,mcdonalds_big_mac_evidence_5,mcdonalds_big_mac,McDonald's Big Mac,current_2020s,www.mcdonalds.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,mcdonalds_big_mac_evidence_6,mcdonalds_big_mac,McDonald's Big Mac,current_2020s,www.mcdonalds.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,mcdonalds_chicken_mcnuggets_evidence_4,mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,2000s;2010s,s3.amazonaws.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,mcdonalds_chicken_mcnuggets_evidence_5,mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,2000s;2010s,www.canceredinstitute.org,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,mcdonalds_chicken_mcnuggets_evidence_6,mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,2010s,krissyowens.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,mcdonalds_chicken_mcnuggets_evidence_7,mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,current_2020s,www.mcdonalds.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,mcdonalds_chicken_mcnuggets_evidence_8,mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,current_2020s,www.mcdonalds.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,ewg_oreo_current,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,current_2020s,www.ewg.org,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,ewg_oreo_winter_2010,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,2010s,www.ewg.org,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,kroger_oreo_current,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,current_2020s,www.kroger.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,smartlabel_oreo_143,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,current_2020s,smartlabel.mondelez.info,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,walmart_oreo_current,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,current_2020s,business.walmart.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
