run_id,evidence_id,product_id,product_name,vintage_label,source_domain,proof_lane,proof_lane_rank,ocr_status,processor,failure_reason,image_sha256,line_count,ingredient_signal_found,ingredient_signal_line_count,average_confidence,private_image_present,candidate_only,manual_verified
public-photo-ocr-v1,jif_creamy_peanut_butter__2010s__187__1,jif_creamy_peanut_butter,Jif Creamy Peanut Butter,2010s bridge,commons.wikimedia.org,secondary_product_context,2,ocr_failed,macos_vision_text_recognition,vision_runtime_nil_error,99e843ddee8d5d0f6e8d9dd3dd353eda92d73280ebfafb124494ce889669229d,0,0,0,,1,1,0
public-photo-ocr-v1,corn_flakes__2010s__149__1,corn_flakes,Kellogg's Corn Flakes,2010s bridge,commons.wikimedia.org,secondary_product_context,2,ocr_failed,macos_vision_text_recognition,vision_runtime_nil_error,cb9db23e4d883c6d9bf0e6ba733dad97e7459e3ada2d18f26005f883b1b63c91,0,0,0,,1,1,0
public-photo-ocr-v1,mountain_dew_original__2000s__994__1,mountain_dew_original,Mountain Dew Original,2000s bridge,commons.wikimedia.org,secondary_product_context,2,ocr_failed,macos_vision_text_recognition,vision_runtime_nil_error,22bc05b5895fef12b00678ce6d099e220e3d33aa972868d00d0367532435ff5c,0,0,0,,1,1,0
public-photo-ocr-v1,philadelphia_cream_cheese_original__earliest_verified_label__1063__2,philadelphia_cream_cheese_original,Philadelphia Original Cream Cheese,Earliest label hunt,commons.wikimedia.org,secondary_product_context,2,ocr_failed,macos_vision_text_recognition,vision_runtime_nil_error,33a3965ff0c862450d531fee76ff80735f43ac459756401e5fd0a8497036115c,0,0,0,,1,1,0
public-photo-ocr-v1,philadelphia_cream_cheese_original__earliest_verified_label__212__1,philadelphia_cream_cheese_original,Philadelphia Original Cream Cheese,Earliest label hunt,commons.wikimedia.org,secondary_product_context,2,ocr_failed,macos_vision_text_recognition,vision_runtime_nil_error,773ffbd309a0da8933fb7bd8ba2a9018a12d65db1d1f63a3860787c53932146d,0,0,0,,1,1,0
public-photo-ocr-v1,quaker_old_fashioned_oats__1980s_or_earlier__664__1,quaker_old_fashioned_oats,Quaker Old Fashioned Oats,1980s or earlier lead,commons.wikimedia.org,secondary_product_context,2,ocr_failed,macos_vision_text_recognition,vision_runtime_nil_error,eec4939a63cf3901ad57e911881521d1341ec584950a1ac0732e68afac6f4991,0,0,0,,1,1,0
public-photo-ocr-v1,quaker_old_fashioned_oats__earliest_verified_label__664__2,quaker_old_fashioned_oats,Quaker Old Fashioned Oats,Earliest label hunt,commons.wikimedia.org,secondary_product_context,2,ocr_failed,macos_vision_text_recognition,vision_runtime_nil_error,eec4939a63cf3901ad57e911881521d1341ec584950a1ac0732e68afac6f4991,0,0,0,,1,1,0
public-photo-ocr-v1,spam_classic__current_2020s__189__6,spam_classic,SPAM Classic,Current SKU anchor,commons.wikimedia.org,secondary_product_context,2,ocr_failed,macos_vision_text_recognition,vision_runtime_nil_error,877084a3e29530a5ceb1eece306a5504400dbfd79ad937ab14f5a2b8ec2a218e,0,0,0,,1,1,0
public-photo-ocr-v1,sunchips_harvest_cheddar__2010s__165__1,sunchips_harvest_cheddar,SunChips Harvest Cheddar,2010s bridge,commons.wikimedia.org,secondary_product_context,2,ocr_failed,macos_vision_text_recognition,vision_runtime_nil_error,986cc354ee9131289681ef5267f49bf0b4a605e737784f5f8416a00015ee9550,0,0,0,,1,1,0
public-photo-ocr-v1,sunchips_harvest_cheddar__current_2020s__165__4,sunchips_harvest_cheddar,SunChips Harvest Cheddar,Current SKU anchor,commons.wikimedia.org,secondary_product_context,2,ocr_failed,macos_vision_text_recognition,vision_runtime_nil_error,986cc354ee9131289681ef5267f49bf0b4a605e737784f5f8416a00015ee9550,0,0,0,,1,1,0
public-photo-ocr-v1,tootsie_roll__current_2020s__1071__2,tootsie_roll,Tootsie Roll,Current SKU anchor,commons.wikimedia.org,secondary_product_context,2,ocr_failed,macos_vision_text_recognition,vision_runtime_nil_error,a5db3bca5f622adb5e0134fba8276a39ea8870fdbcfea85e4b38ac12a1b08e4a,0,0,0,,1,1,0
public-photo-ocr-v1,totinos_pizza_rolls__2000s__828__2,totinos_pizza_rolls,Totino's Pizza Rolls,2000s bridge,commons.wikimedia.org,secondary_product_context,2,ocr_skipped_no_image,not_run,no_private_image_map_entry,,0,0,0,,0,1,0
public-photo-ocr-v1,wendys_chili__2010s__907__1,wendys_chili,Wendy's Chili,2010s bridge,commons.wikimedia.org,secondary_product_context,2,ocr_skipped_no_image,not_run,no_private_image_map_entry,,0,0,0,,0,1,0
public-photo-ocr-v1,wendys_chili__earliest_verified_label__907__1,wendys_chili,Wendy's Chili,Earliest label hunt,commons.wikimedia.org,secondary_product_context,2,ocr_skipped_no_image,not_run,no_private_image_map_entry,,0,0,0,,0,1,0
