product_id,product_name,evidence_id,commons_title,source_url,public_image_url,rights_status,license_url,import_status,rejection_reasons
philadelphia_cream_cheese_original,Philadelphia Original Cream Cheese,philadelphia_cream_cheese_original__earliest_verified_label__212__1,"File:Kraft_Philadelphia_Brand_Cream_Cheese,_1948_(2).jpg",https://commons.wikimedia.org/wiki/File%3AKraft_Philadelphia_Brand_Cream_Cheese%2C_1948_%282%29.jpg,https://upload.wikimedia.org/wikipedia/commons/3/39/Kraft_Philadelphia_Brand_Cream_Cheese%2C_1948_%282%29.jpg,Wikimedia Commons No restrictions / No known copyright restrictions,https://www.flickr.com/commons/usage/,publishable,
philadelphia_cream_cheese_original,Philadelphia Original Cream Cheese,philadelphia_cream_cheese_original__earliest_verified_label__1063__2,"File:Kraft_Philadelphia_Brand_Cream_Cheese,_1948.jpg",https://commons.wikimedia.org/wiki/File%3AKraft_Philadelphia_Brand_Cream_Cheese%2C_1948.jpg,https://upload.wikimedia.org/wikipedia/commons/1/18/Kraft_Philadelphia_Brand_Cream_Cheese%2C_1948.jpg,Wikimedia Commons No restrictions / No known copyright restrictions,https://www.flickr.com/commons/usage/,publishable,
quaker_old_fashioned_oats,Quaker Old Fashioned Oats,quaker_old_fashioned_oats__earliest_verified_label__664__2,File:Quaker_Oats_(3092914571).jpg,https://commons.wikimedia.org/wiki/File%3AQuaker_Oats_%283092914571%29.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1e/Quaker_Oats_%283092914571%29.jpg,Wikimedia Commons Public domain,,publishable,
quaker_old_fashioned_oats,Quaker Old Fashioned Oats,quaker_old_fashioned_oats__1980s_or_earlier__664__1,File:Quaker_Oats_(3092914571).jpg,https://commons.wikimedia.org/wiki/File%3AQuaker_Oats_%283092914571%29.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1e/Quaker_Oats_%283092914571%29.jpg,Wikimedia Commons Public domain,,publishable,
subway_italian_bmt,Subway Italian B.M.T.,subway_italian_bmt__earliest_verified_label__945__1,"File:""US_Product_Ingredient_Guide""_(April_2020),_Subway.pdf",https://commons.wikimedia.org/wiki/File%3A%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf,https://upload.wikimedia.org/wikipedia/commons/5/58/%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf,Wikimedia Commons Public domain,,publishable,
subway_italian_bmt,Subway Italian B.M.T.,subway_italian_bmt__2010s__945__1,"File:""US_Product_Ingredient_Guide""_(April_2020),_Subway.pdf",https://commons.wikimedia.org/wiki/File%3A%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf,https://upload.wikimedia.org/wikipedia/commons/5/58/%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf,Wikimedia Commons Public domain,,publishable,
totinos_pizza_rolls,Totino's Pizza Rolls,totinos_pizza_rolls__2000s__828__2,File:06_totinos_pizza_rolls_(3185559340).jpg,https://commons.wikimedia.org/wiki/File:06_totinos_pizza_rolls_(3185559340).jpg,https://upload.wikimedia.org/wikipedia/commons/8/8e/06_totinos_pizza_rolls_%283185559340%29.jpg,Wikimedia Commons CC BY-SA 2.0 / Creative Commons Attribution-Share Alike 2.0,https://creativecommons.org/licenses/by-sa/2.0,publishable,
7up_original,7UP Original,7up_original__earliest_verified_label__1069__4,File:Old_7_UP_bottles.jpg,https://commons.wikimedia.org/wiki/File%3AOld_7_UP_bottles.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Old_7_UP_bottles.jpg,Wikimedia Commons CC BY 2.0 / Creative Commons Attribution 2.0,https://creativecommons.org/licenses/by/2.0,publishable,
frenchs_yellow_mustard,French's Classic Yellow Mustard,frenchs_yellow_mustard__earliest_verified_label__811__1,File:French's_classic_yellow_mustard.jpg,https://commons.wikimedia.org/wiki/File:French%27s_classic_yellow_mustard.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f7/French%27s_classic_yellow_mustard.jpg,Wikimedia Commons CC BY-SA 3.0 / Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,publishable,
frenchs_yellow_mustard,French's Classic Yellow Mustard,frenchs_yellow_mustard__2000s__811__1,File:French's_classic_yellow_mustard.jpg,https://commons.wikimedia.org/wiki/File:French%27s_classic_yellow_mustard.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f7/French%27s_classic_yellow_mustard.jpg,Wikimedia Commons CC BY-SA 3.0 / Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,publishable,
tootsie_roll,Tootsie Roll,tootsie_roll__current_2020s__1071__2,File:Tootsie_rolls_(768595072).jpg,https://commons.wikimedia.org/wiki/File%3ATootsie_rolls_%28768595072%29.jpg,https://upload.wikimedia.org/wikipedia/commons/5/55/Tootsie_rolls_%28768595072%29.jpg,Wikimedia Commons CC BY 2.0 / Creative Commons Attribution 2.0,https://creativecommons.org/licenses/by/2.0,publishable,
sunchips_harvest_cheddar,SunChips Harvest Cheddar,sunchips_harvest_cheddar__current_2020s__165__4,File:Harvest_Cheddar_Sunchips.JPG,https://commons.wikimedia.org/wiki/File%3AHarvest_Cheddar_Sunchips.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Harvest_Cheddar_Sunchips.JPG,Wikimedia Commons CC BY 3.0 / Creative Commons Attribution 3.0,https://creativecommons.org/licenses/by/3.0,publishable,
sunchips_harvest_cheddar,SunChips Harvest Cheddar,sunchips_harvest_cheddar__2010s__165__1,File:Harvest_Cheddar_Sunchips.JPG,https://commons.wikimedia.org/wiki/File%3AHarvest_Cheddar_Sunchips.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Harvest_Cheddar_Sunchips.JPG,Wikimedia Commons CC BY 3.0 / Creative Commons Attribution 3.0,https://creativecommons.org/licenses/by/3.0,publishable,
ball_park_franks,Ball Park Franks,ball_park_franks__earliest_verified_label__990__1,File:Vintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_(3415970199).jpg,https://commons.wikimedia.org/wiki/File%3AVintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Vintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,Wikimedia Commons CC BY 2.0 / Creative Commons Attribution 2.0,https://creativecommons.org/licenses/by/2.0,publishable,
ball_park_franks,Ball Park Franks,ball_park_franks__2010s__984__1,File:Ball_Park_Angus_Beef_Frank_(36163721905).jpg,https://commons.wikimedia.org/wiki/File%3ABall_Park_Angus_Beef_Frank_%2836163721905%29.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d1/Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg,Wikimedia Commons CC BY-SA 2.0 / Creative Commons Attribution-Share Alike 2.0,https://creativecommons.org/licenses/by-sa/2.0,publishable,
ball_park_franks,Ball Park Franks,ball_park_franks__current_2020s__984__10,File:Ball_Park_Angus_Beef_Frank_(36163721905).jpg,https://commons.wikimedia.org/wiki/File%3ABall_Park_Angus_Beef_Frank_%2836163721905%29.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d1/Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg,Wikimedia Commons CC BY-SA 2.0 / Creative Commons Attribution-Share Alike 2.0,https://creativecommons.org/licenses/by-sa/2.0,publishable,
ball_park_franks,Ball Park Franks,ball_park_franks__1980s_or_earlier__990__1,File:Vintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_(3415970199).jpg,https://commons.wikimedia.org/wiki/File%3AVintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Vintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,Wikimedia Commons CC BY 2.0 / Creative Commons Attribution 2.0,https://creativecommons.org/licenses/by/2.0,publishable,
