packet_id,provider,model,status,product_id,product_name,vintage_span,source_row_count,candidate_lead_count,unresolved_gap_count,prompt_hash,response_hash,cache_hit,candidate_only,manual_verified_created,next_action
cwa_grok_source_hunt_e682516daa971d,xai,grok-4.3,not_selected_budget_guard,butterfinger_bar,Butterfinger Bar,1930s to 2009,8,0,0,6806e1382775ca2e5701bfee205d620e963fa5ce768cd35c787dc061faf294f4,,0,1,0,No reviewed source leads are public; continue source hunting or run the packet when budget allows.
cwa_grok_source_hunt_d83c2a70b3bf01,xai,grok-4.3,not_selected_budget_guard,hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,1908 to 1960s,6,0,0,7d12ab353b94dcfe5d92b7b5d28a07bfb83802f41a5218a6bee246e862342778,,0,1,0,No reviewed source leads are public; continue source hunting or run the packet when budget allows.
cwa_grok_source_hunt_7f4e4780a6dd08,xai,grok-4.3,not_selected_budget_guard,kit_kat_bar,Kit Kat Bar,1960s to 2007,6,0,0,95c3df45ed9d4a0100c90ba5b90443e6eedd9fe8921aaced01ff45f745769952,,0,1,0,No reviewed source leads are public; continue source hunting or run the packet when budget allows.
cwa_grok_source_hunt_79c923686985b5,xai,grok-4.3,not_selected_budget_guard,mms_milk_chocolate,M&M's Milk Chocolate Candies,1970s to 1998,5,0,0,58db1962c9640a672af462a29e6effac18a9fd8d320e7f92e102e93227258ed9,,0,1,0,No reviewed source leads are public; continue source hunting or run the packet when budget allows.
cwa_grok_source_hunt_118aef6304c3fb,xai,grok-4.3,not_selected_budget_guard,milky_way_bar,Milky Way Bar,1939 to 1958,4,0,0,94aa90ac6b081d701a473218a533a2511debb88cdff1959918e9752e568ab233,,0,1,0,No reviewed source leads are public; continue source hunting or run the packet when budget allows.
cwa_grok_source_hunt_a2463937eb225b,xai,grok-4.3,not_selected_budget_guard,reeses_peanut_butter_cups,Reese's Peanut Butter Cups,1940s to 2005,7,0,0,d729be8b23248b123cd8699b36ebf9210f1182887beadbc438a64ce912f8f3ba,,0,1,0,No reviewed source leads are public; continue source hunting or run the packet when budget allows.
cwa_grok_source_hunt_f5b8d1b45ccb67,xai,grok-4.3,not_selected_budget_guard,snickers_bar,Snickers Bar,1939 to 2002,6,0,0,5f105ea5a937bc9d7012f70d2b94a5841254264838c941f10903414fdab3ae0e,,0,1,0,No reviewed source leads are public; continue source hunting or run the packet when budget allows.
cwa_grok_source_hunt_3cc1ee5ccede0d,xai,grok-4.3,not_selected_budget_guard,tootsie_roll,Tootsie Roll,1940s to 1960s,2,0,0,0f4b61c1fb986e8892788deab5cca021b34a37e993fe53168ea1b15d328abba0,,0,1,0,No reviewed source leads are public; continue source hunting or run the packet when budget allows.
cwa_grok_source_hunt_a5be1676f42ffd,xai,grok-4.3,not_selected_budget_guard,twix_bar,Twix Bar,2002 to 2009,5,0,0,9405506c29cd0e8bb4769e4c2bc6c6416a0b922e091219156e249235b2fe1537,,0,1,0,No reviewed source leads are public; continue source hunting or run the packet when budget allows.
