run_id,route_type,route_id,provider,model,status,source_row_count,grouping_policy,evidence_ids,candidate_only
confection-wrapper-item-panel-v1,spark_packet,spark_179b32a32c2f99,codex,gpt-5.3-codex-spark,packet_ready,20,compact,cwa_item_triage_twix_bar_14f904c119;cwa_item_triage_twix_bar_7ae0543a5c;cwa_item_triage_twix_bar_c09c4471e1;cwa_item_triage_butterfinger_bar_5785e88263;cwa_item_triage_butterfinger_bar_68efbe7b19;cwa_item_triage_hersheys_milk_chocolate_bar_231b7fb330;cwa_item_triage_hersheys_milk_chocolate_bar_cd1d18be4c;cwa_item_triage_mms_milk_chocolate_5e1f429701;cwa_item_triage_mms_milk_chocolate_d83e2731e3;cwa_item_triage_reeses_peanut_butter_cups_16f603918d;cwa_item_triage_reeses_peanut_butter_cups_230caf8f25;cwa_item_triage_butterfinger_bar_2e6e39dbff;cwa_item_triage_butterfinger_bar_2f332a9dd7;cwa_item_triage_butterfinger_bar_a172a7e8d6;cwa_item_triage_butterfinger_bar_b2f39e327d;cwa_item_triage_butterfinger_bar_e1644c072c;cwa_item_triage_butterfinger_bar_ede8d82563;cwa_item_triage_hersheys_milk_chocolate_bar_7f7eac522f;cwa_item_triage_hersheys_milk_chocolate_bar_ac748c6882;cwa_item_triage_hersheys_milk_chocolate_bar_b812edc4a8,true
confection-wrapper-item-panel-v1,spark_packet,spark_818c0e6d68fcc3,codex,gpt-5.3-codex-spark,packet_ready,20,compact,cwa_item_triage_tootsie_roll_69b1a8d3ec;cwa_item_triage_tootsie_roll_d437c83146;cwa_item_triage_kit_kat_bar_2a96c86c14;cwa_item_triage_kit_kat_bar_cc86c0713b;cwa_item_triage_milky_way_bar_5b9a6ac660;cwa_item_triage_milky_way_bar_95738b0020;cwa_item_triage_snickers_bar_cb2b9d2221;cwa_item_triage_snickers_bar_e0fe0f670b;cwa_item_triage_twix_bar_1f274f01fe;cwa_item_triage_twix_bar_6267499e6b;cwa_item_triage_kit_kat_bar_048074b72f;cwa_item_triage_kit_kat_bar_7d8d5f75c1;cwa_item_triage_kit_kat_bar_b6403000eb;cwa_item_triage_kit_kat_bar_c130111192;cwa_item_triage_milky_way_bar_522c99a44a;cwa_item_triage_milky_way_bar_e949e52021;cwa_item_triage_snickers_bar_08d83cf3a3;cwa_item_triage_snickers_bar_0c0135e509;cwa_item_triage_snickers_bar_161988f704;cwa_item_triage_snickers_bar_fcd9088312,true
confection-wrapper-item-panel-v1,spark_packet,spark_9a26cc485c4071,codex,gpt-5.3-codex-spark,packet_ready,9,compact,cwa_item_triage_hersheys_milk_chocolate_bar_e8d47584d9;cwa_item_triage_mms_milk_chocolate_5059214ea3;cwa_item_triage_mms_milk_chocolate_b41dc7b4eb;cwa_item_triage_mms_milk_chocolate_e4332f25df;cwa_item_triage_reeses_peanut_butter_cups_26454dd671;cwa_item_triage_reeses_peanut_butter_cups_4e00d21fa0;cwa_item_triage_reeses_peanut_butter_cups_71e56f2592;cwa_item_triage_reeses_peanut_butter_cups_977261d2e7;cwa_item_triage_reeses_peanut_butter_cups_ea9a77a40f,true
