packet_id,provider,model,status,product_id,product_name,vintage_span,source_row_count,prompt_hash,source_packet_ids,candidate_only,manual_verified_created
cwa_grok_source_hunt_e682516daa971d,xai,grok-4.3,packet_ready_not_called,butterfinger_bar,Butterfinger Bar,1930s to 2009,8,6806e1382775ca2e5701bfee205d620e963fa5ce768cd35c787dc061faf294f4,cwa_ingredient_packet_84a4b9dcab7f9f;cwa_ingredient_packet_c1cab625704bfc;cwa_ingredient_packet_72f4c60dcc3f7d;cwa_ingredient_packet_f221e653ba688a;cwa_ingredient_packet_fd81bc6a933d6c;cwa_ingredient_packet_4096b6dfdd1f55;cwa_ingredient_packet_19f6380dee5d22;cwa_ingredient_packet_e8520178db04a4,1,0
cwa_grok_source_hunt_d83c2a70b3bf01,xai,grok-4.3,packet_ready_not_called,hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,1908 to 1960s,6,7d12ab353b94dcfe5d92b7b5d28a07bfb83802f41a5218a6bee246e862342778,cwa_ingredient_packet_9fb01f34256aef;cwa_ingredient_packet_15d2b3cbd91124;cwa_ingredient_packet_c66c147a91bd1a;cwa_ingredient_packet_530c22e69b076d;cwa_ingredient_packet_bc654d226b4cdf;cwa_ingredient_packet_d67b9cdf3eeee1,1,0
cwa_grok_source_hunt_7f4e4780a6dd08,xai,grok-4.3,packet_ready_not_called,kit_kat_bar,Kit Kat Bar,1960s to 2007,6,95c3df45ed9d4a0100c90ba5b90443e6eedd9fe8921aaced01ff45f745769952,cwa_ingredient_packet_bf9e7268606c82;cwa_ingredient_packet_682ccb64aed667;cwa_ingredient_packet_26eff3b8ba9993;cwa_ingredient_packet_465943270b2630;cwa_ingredient_packet_da1651af787730;cwa_ingredient_packet_373b0e85d855ec,1,0
cwa_grok_source_hunt_79c923686985b5,xai,grok-4.3,packet_ready_not_called,mms_milk_chocolate,M&M's Milk Chocolate Candies,1970s to 1998,5,58db1962c9640a672af462a29e6effac18a9fd8d320e7f92e102e93227258ed9,cwa_ingredient_packet_4cdf0ea6ee12b6;cwa_ingredient_packet_6d2be6c2f70415;cwa_ingredient_packet_884f8d837cfd2e;cwa_ingredient_packet_9e67f67ffedb0d;cwa_ingredient_packet_65274b9298d3e2,1,0
cwa_grok_source_hunt_118aef6304c3fb,xai,grok-4.3,packet_ready_not_called,milky_way_bar,Milky Way Bar,1939 to 1958,4,94aa90ac6b081d701a473218a533a2511debb88cdff1959918e9752e568ab233,cwa_ingredient_packet_2280a6b4f9504b;cwa_ingredient_packet_b0bb8fbc2d7235;cwa_ingredient_packet_52c47e15c1d0c1;cwa_ingredient_packet_e06e18ec457cbe,1,0
cwa_grok_source_hunt_a2463937eb225b,xai,grok-4.3,packet_ready_not_called,reeses_peanut_butter_cups,Reese's Peanut Butter Cups,1940s to 2005,7,d729be8b23248b123cd8699b36ebf9210f1182887beadbc438a64ce912f8f3ba,cwa_ingredient_packet_caa6d23e9fde06;cwa_ingredient_packet_0075af3870d743;cwa_ingredient_packet_99d7a0607d525c;cwa_ingredient_packet_759d8e5eb34575;cwa_ingredient_packet_d7867c661ce47f;cwa_ingredient_packet_0a3cbee10cb537;cwa_ingredient_packet_0393e54e2ea22e,1,0
cwa_grok_source_hunt_f5b8d1b45ccb67,xai,grok-4.3,packet_ready_not_called,snickers_bar,Snickers Bar,1939 to 2002,6,5f105ea5a937bc9d7012f70d2b94a5841254264838c941f10903414fdab3ae0e,cwa_ingredient_packet_72af616e1e986a;cwa_ingredient_packet_be9651aed9a9bf;cwa_ingredient_packet_cf095a529839ae;cwa_ingredient_packet_ddded09968e768;cwa_ingredient_packet_a1563afe4d2e7f;cwa_ingredient_packet_08f3def6d53b44,1,0
cwa_grok_source_hunt_3cc1ee5ccede0d,xai,grok-4.3,packet_ready_not_called,tootsie_roll,Tootsie Roll,1940s to 1960s,2,0f4b61c1fb986e8892788deab5cca021b34a37e993fe53168ea1b15d328abba0,cwa_ingredient_packet_35c7db6a33734d;cwa_ingredient_packet_8e084e5c1cb0c4,1,0
cwa_grok_source_hunt_a5be1676f42ffd,xai,grok-4.3,packet_ready_not_called,twix_bar,Twix Bar,2002 to 2009,5,9405506c29cd0e8bb4769e4c2bc6c6416a0b922e091219156e249235b2fe1537,cwa_ingredient_packet_74790ccfbe4be3;cwa_ingredient_packet_66923432543be1;cwa_ingredient_packet_72b087d6b7d783;cwa_ingredient_packet_5be1acafa1de79;cwa_ingredient_packet_4022824844b592,1,0
