run_id,packet_id,packet_rank,product_id,product_name,vintage_label,source_domain,source_url,source_title,surface_count,primary_text_rows,support_text_rows,capture_surface_order,candidate_only,manual_verified
cwa-ingredient-private-run-v1,cwa_ingredient_packet_9fb01f34256aef,16,hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,1908,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1908-hershey-wrapper/,1908 Hershey's Milk Chocolate Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_15d2b3cbd91124,17,hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,1910,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1910-hershey/,1910 Hershey's Milk Chocolate Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_c66c147a91bd1a,18,hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,1930s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-hershey/,1930s Hershey's Milk Chocolate Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_530c22e69b076d,19,hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,1940,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1940-hershey/,1940 Hershey's Milk Chocolate Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_bc654d226b4cdf,20,hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,1950s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1950s-hershey/,1950s Hershey's Milk Chocolate Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_d67b9cdf3eeee1,21,hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,1960s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1960s-hershey/,1960s Hershey's Milk Chocolate Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_bf9e7268606c82,22,kit_kat_bar,Kit Kat Bar,1960s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1960s-kit-kat/,1960s Kit Kat Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_682ccb64aed667,23,kit_kat_bar,Kit Kat Bar,1970s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1970s-kit-kat/,1970s Kit Kat Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_26eff3b8ba9993,24,kit_kat_bar,Kit Kat Bar,2000,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/2000-kit-kat/,2000 Kit Kat Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_465943270b2630,25,kit_kat_bar,Kit Kat Bar,2002,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/2002-kit-kat/,2002 Kit Kat Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
